reading_date,meter,parameter,reading_kwh
2026-02-08,AS0210961,import,0.00
2026-03-01,AS0210961,import,278.96
2026-04-01,AS0210961,import,765.93
2026-05-01,AS0210961,import,1485.57
2026-06-01,AS0210961,import,2083.97
2026-07-01,AS0210961,import,2878.91
2026-08-01,AS0210961,import,3502.22
2026-09-01,AS0210961,import,4043.47
2026-02-08,AS0210961,export,0.00
2026-03-01,AS0210961,export,161.73
2026-04-01,AS0210961,export,344.91
2026-05-01,AS0210961,export,537.33
2026-06-01,AS0210961,export,729.96
2026-07-01,AS0210961,export,841.93
2026-08-01,AS0210961,export,943.98
2026-09-01,AS0210961,export,1042.63
2026-02-08,AS0210962,generation,0.00
2026-03-01,AS0210962,generation,321.91
2026-04-01,AS0210962,generation,711.46
2026-05-01,AS0210962,generation,1147.80
2026-06-01,AS0210962,generation,1584.33
2026-07-01,AS0210962,generation,1949.00
2026-08-01,AS0210962,generation,2217.76
2026-09-01,AS0210962,generation,2481.26
